Show,Season,Episode Number,Episode Title,Airdate
Flash,Season 2,12,Fast Lane,2/2/16
Arrow,Season 4,12,Unchained,2/3/16
Legends of Tomorrow,Season 1,3,Blood Ties,2/4/16
Super Girl,Season 1,13,For the Girl Who Has Everything,2/8/16
Flash,Season 2,13,Welcome to Earth-2,2/9/16
Arrow,Season 4,13,Sins of the Father,2/10/16
Legends of Tomorrow,Season 1,4,White Knights,2/11/16
Flash,Season 2,14,Escape from Earth-2,2/16/16
Arrow,Season 4,14,Code of Silence,2/17/16
Legends of Tomorrow,Season 1,5,Fail-Safe,2/18/16
Super Girl,Season 1,14,"Truth, Justice and the American Way",2/22/16
Flash,Season 2,15,King Shark,2/23/16
Arrow,Season 4,15,Taken,2/24/16
Legends of Tomorrow,Season 1,6,Star City 2046,2/25/16
Super Girl,Season 1,15,Solitude,2/29/16
Legends of Tomorrow,Season 1,7,Marooned,3/3/16
Legends of Tomorrow,Season 1,8,Night of the Hawk,3/10/16
Super Girl,Season 1,16,Falling,3/14/16
Super Girl,Season 1,17,Manhunter,3/21/16
Flash,Season 2,16,Trajectory,3/22/16
Arrow,Season 4,16,Broken Hearts,3/23/16
Super Girl,Season 1,18,Worlds Finest,3/28/16
Flash,Season 2,17,Flash Back,3/29/16
Arrow,Season 4,17,Beacon of Hope,3/30/16
Legends of Tomorrow,Season 1,9,Left Behind,3/31/16
Arrow,Season 4,18,Eleven-Fifty-Nine,4/6/16
Legends of Tomorrow,Season 1,10,Progeny,4/7/16
Super Girl,Season 1,19,Myriad,4/11/16
Legends of Tomorrow,Season 1,11,The Magnificent Eight,4/14/16
Super Girl,Season 1,20,Better Angels,4/18/16
Flash,Season 2,18,Versus Zoom,4/19/16
Legends of Tomorrow,Season 1,12,Last Refuge,4/21/16
Flash,Season 2,19,Back to Normal,4/26/16
Arrow,Season 4,19,Canary Cry,4/27/16
Legends of Tomorrow,Season 1,13,Leviathan,4/28/16
Flash,Season 2,20,Rupture,5/3/16
Arrow,Season 4,20,Genesis,5/4/16
Legends of Tomorrow,Season 1,14,River of Time,5/5/16
Flash,Season 2,21,The Runaway Dinosaur,5/10/16
Arrow,Season 4,21,Monument Point,5/11/16
Legends of Tomorrow,Season 1,15,Destiny,5/12/16
Flash,Season 2,22,Invincible,5/17/16
Arrow,Season 4,22,Lost in the Flood,5/18/16
Legends of Tomorrow,Season 1,16,Legendary,5/19/16
Flash,Season 2,23,The Race of His Life,5/24/16
Arrow,Season 4,23,Schism,5/25/16
Flash,Season 3,1,Flashpoint,10/4/16
Arrow,Season 5,1,Legacy,10/5/16
Super Girl,Season 2,1,The Adventures of Supergirl,10/10/16
Flash,Season 3,2,Paradox,10/11/16
Arrow,Season 5,2,The Recruits,10/12/16
Legends of Tomorrow,Season 2,1,Out of Time,10/13/16
Vixen,Season 2,1,Episode #2.1,10/13/16
Super Girl,Season 2,2,The Last Children of Krypton,10/17/16
Flash,Season 3,3,Magenta,10/18/16
Arrow,Season 5,3,A Matter of Trust,10/19/16
Legends of Tomorrow,Season 2,2,The Justice Society of America,10/20/16
Vixen,Season 2,2,Episode #2.2,10/21/16
